[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/inbox/QuickAddBar.tsx → 200 (18ms, 16201B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/inbox/SourceList.tsx → 200 (18ms, 8358B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/api/tags.ts → 200 (18ms, 6197B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/hooks/useArticle.ts → 200 (20ms, 1263B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/api/wiki.ts → 200 (19ms, 7966B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/shared/Spinner.tsx → 200 (19ms, 3727B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/ArticleCardGrid.tsx → 200 (19ms, 21280B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/ArticleOutline.tsx → 200 (20ms, 12110B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/ArticleReader.tsx → 200 (26ms, 63315B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/BacklinkPanel.tsx → 200 (25ms, 26692B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/ConceptTree.tsx → 200 (25ms, 37863B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/CreateStubModal.tsx → 200 (25ms, 19872B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/FiguresPanel.tsx → 200 (28ms, 29035B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/InArticleSearch.tsx → 200 (30ms, 36205B)
[2026-05-09T17:01:43.365Z] GET http://localhost:5173/src/components/wiki/SavedSearches.tsx → 200 (26ms, 20540B)
[2026-05-09T17:01:43.366Z] GET http://localhost:5173/src/components/wiki/SearchBar.tsx → 200 (26ms, 37115B)
[2026-05-09T17:01:43.366Z] GET http://localhost:5173/src/components/wiki/SourcePanel.tsx → 200 (26ms, 26357B)
[2026-05-09T17:01:43.367Z] GET http://localhost:5173/src/api/query.ts → 200 (32ms, 15274B)
[2026-05-09T17:01:43.367Z] GET http://localhost:5173/src/store/selection.tsx → 200 (28ms, 12239B)
[2026-05-09T17:01:43.367Z] GET http://localhost:5173/src/components/ask/ConversationHistory.tsx → 200 (29ms, 17956B)
[2026-05-09T17:01:43.367Z] GET http://localhost:5173/src/components/ask/ConversationThread.tsx → 200 (30ms, 24136B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/ask/QueryInput.tsx → 200 (27ms, 8559B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/hooks/useArticles.ts → 200 (31ms, 5247B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/graph/GraphCanvas.tsx → 200 (29ms, 14091B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/graph/GraphFilters.tsx → 200 (30ms, 20277B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/graph/GraphDetailPanel.tsx → 200 (30ms, 14981B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/graph/GraphLegend.tsx → 200 (31ms, 6616B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/health/LintReportSummary.tsx → 200 (37ms, 26725B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/health/FindingsByKindTabs.tsx → 200 (32ms, 13694B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/hooks/useLint.ts → 200 (32ms, 9020B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/wiki/FacetSidebar.tsx → 200 (37ms, 21003B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/shared/Button.tsx → 200 (33ms, 6207B)
[2026-05-09T17:01:43.371Z] GET http://localhost:5173/src/components/shared/Card.tsx → 200 (38ms, 3835B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/api/sources.ts → 200 (36ms, 7003B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/ProviderCard.tsx → 200 (36ms, 29176B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/ApiKeyModal.tsx → 200 (37ms, 20024B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/CostDashboard.tsx → 200 (37ms, 33408B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/SyncStatus.tsx → 200 (38ms, 10801B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/WikiExportPanel.tsx → 200 (37ms, 9568B)
[2026-05-09T17:01:43.372Z] GET http://localhost:5173/src/components/settings/ShareLinksPanel.tsx → 200 (37ms, 13825B)
[2026-05-09T17:01:43.373Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=f32c85eb → 200 (36ms, 11830B)
